"","month","agebin","densitybin","fraction_infected_bin","count","num_in_group","freq_frac_infect","site"
"342",1,15,0,100,0,2,0,"dapelogo_2007"
"343",1,15,0.5,0,0,0,NA,"dapelogo_2007"
"344",1,15,0.5,5,0,0,NA,"dapelogo_2007"
"345",1,15,0.5,20,0,0,NA,"dapelogo_2007"
"346",1,15,0.5,50,0,0,NA,"dapelogo_2007"
"347",1,15,0.5,80,0,0,NA,"dapelogo_2007"
"348",1,15,0.5,100,0,0,NA,"dapelogo_2007"
"349",1,15,5,0,1,2,0.5,"dapelogo_2007"
"350",1,15,5,5,0,2,0,"dapelogo_2007"
"351",1,15,5,20,0,2,0,"dapelogo_2007"
"352",1,15,5,50,1,2,0.5,"dapelogo_2007"
"353",1,15,5,80,0,2,0,"dapelogo_2007"
"354",1,15,5,100,0,2,0,"dapelogo_2007"
"355",1,15,50,0,3,3,1,"dapelogo_2007"
"356",1,15,50,5,0,3,0,"dapelogo_2007"
"357",1,15,50,20,0,3,0,"dapelogo_2007"
"358",1,15,50,50,0,3,0,"dapelogo_2007"
"359",1,15,50,80,0,3,0,"dapelogo_2007"
"360",1,15,50,100,0,3,0,"dapelogo_2007"
"361",1,15,500,0,2,4,0.5,"dapelogo_2007"
"362",1,15,500,5,0,4,0,"dapelogo_2007"
"363",1,15,500,20,2,4,0.5,"dapelogo_2007"
"364",1,15,500,50,0,4,0,"dapelogo_2007"
"365",1,15,500,80,0,4,0,"dapelogo_2007"
"366",1,15,500,100,0,4,0,"dapelogo_2007"
"367",1,15,5000,0,1,2,0.5,"dapelogo_2007"
"368",1,15,5000,5,1,2,0.5,"dapelogo_2007"
"369",1,15,5000,20,0,2,0,"dapelogo_2007"
"370",1,15,5000,50,0,2,0,"dapelogo_2007"
"371",1,15,5000,80,0,2,0,"dapelogo_2007"
"372",1,15,5000,100,0,2,0,"dapelogo_2007"
"373",1,15,50000,0,1,1,1,"dapelogo_2007"
"374",1,15,50000,5,0,1,0,"dapelogo_2007"
"375",1,15,50000,20,0,1,0,"dapelogo_2007"
"376",1,15,50000,50,0,1,0,"dapelogo_2007"
"377",1,15,50000,80,0,1,0,"dapelogo_2007"
"378",1,15,50000,100,0,1,0,"dapelogo_2007"
"379",1,15,5e+05,0,0,0,NA,"dapelogo_2007"
"380",1,15,5e+05,5,0,0,NA,"dapelogo_2007"
"381",1,15,5e+05,20,0,0,NA,"dapelogo_2007"
"382",1,15,5e+05,50,0,0,NA,"dapelogo_2007"
"383",1,15,5e+05,80,0,0,NA,"dapelogo_2007"
"384",1,15,5e+05,100,0,0,NA,"dapelogo_2007"
"385",1,80,0,0,13,14,0.928571428571429,"dapelogo_2007"
"386",1,80,0,5,1,14,0.0714285714285714,"dapelogo_2007"
"387",1,80,0,20,0,14,0,"dapelogo_2007"
"388",1,80,0,50,0,14,0,"dapelogo_2007"
"389",1,80,0,80,0,14,0,"dapelogo_2007"
"390",1,80,0,100,0,14,0,"dapelogo_2007"
"391",1,80,0.5,0,2,2,1,"dapelogo_2007"
"392",1,80,0.5,5,0,2,0,"dapelogo_2007"
"393",1,80,0.5,20,0,2,0,"dapelogo_2007"
"394",1,80,0.5,50,0,2,0,"dapelogo_2007"
"395",1,80,0.5,80,0,2,0,"dapelogo_2007"
"396",1,80,0.5,100,0,2,0,"dapelogo_2007"
"397",1,80,5,0,1,2,0.5,"dapelogo_2007"
"398",1,80,5,5,1,2,0.5,"dapelogo_2007"
"399",1,80,5,20,0,2,0,"dapelogo_2007"
"400",1,80,5,50,0,2,0,"dapelogo_2007"
"401",1,80,5,80,0,2,0,"dapelogo_2007"
"402",1,80,5,100,0,2,0,"dapelogo_2007"
"403",1,80,50,0,3,3,1,"dapelogo_2007"
"404",1,80,50,5,0,3,0,"dapelogo_2007"
"405",1,80,50,20,0,3,0,"dapelogo_2007"
"406",1,80,50,50,0,3,0,"dapelogo_2007"
"407",1,80,50,80,0,3,0,"dapelogo_2007"
"408",1,80,50,100,0,3,0,"dapelogo_2007"
