"agebin","Village","Seasons","densitybin","count_asex","bin_total_asex","asexual_par_dens_freq","count_gamet","bin_total_gamet","gametocyte_dens_freq","Site","year","month0","month"
76,"Rafin Marke","DC2",50,5,34,0.147058823529412,1,34,0.0294117647058824,"Rafin_Marke_1970",2,"DC",2
76,"Rafin Marke","DC2",500,1,34,0.0294117647058824,NA,NA,NA,"Rafin_Marke_1970",2,"DC",2
76,"Rafin Marke","DH2",0,51,64,0.796875,64,64,1,"Rafin_Marke_1970",2,"DH",7
76,"Rafin Marke","DH2",50,12,64,0.1875,NA,NA,NA,"Rafin_Marke_1970",2,"DH",7
76,"Rafin Marke","DH2",500,1,64,0.015625,NA,NA,NA,"Rafin_Marke_1970",2,"DH",7
76,"Rafin Marke","W2",0,28,34,0.823529411764706,34,34,1,"Rafin_Marke_1970",2,"W",10
76,"Rafin Marke","W2",50,6,34,0.176470588235294,NA,NA,NA,"Rafin_Marke_1970",2,"W",10
76,"Sugungum","DC2",0,71,101,0.702970297029703,99,101,0.98019801980198,"Sugungum_1970",2,"DC",2
76,"Sugungum","DC2",50,27,101,0.267326732673267,2,101,0.0198019801980198,"Sugungum_1970",2,"DC",2
76,"Sugungum","DC2",500,3,101,0.0297029702970297,NA,NA,NA,"Sugungum_1970",2,"DC",2
76,"Sugungum","DH2",0,34,50,0.68,50,50,1,"Sugungum_1970",2,"DH",7
76,"Sugungum","DH2",50,16,50,0.32,NA,NA,NA,"Sugungum_1970",2,"DH",7
76,"Sugungum","W2",0,62,93,0.666666666666667,88,93,0.946236559139785,"Sugungum_1970",2,"W",10
76,"Sugungum","W2",50,24,93,0.258064516129032,5,93,0.0537634408602151,"Sugungum_1970",2,"W",10
76,"Sugungum","W2",500,6,93,0.0645161290322581,NA,NA,NA,"Sugungum_1970",2,"W",10
76,"Sugungum","W2",5000,1,93,0.010752688172043,NA,NA,NA,"Sugungum_1970",2,"W",10
